race,cand_name,cand_img,cand_details,race_code,url,vs_state,vs_office,district_no
"
                  Alaska
                  U.S. House
                  
                  
                  At-Large
                  
                  (Special Election)
                ",Lady Dutchess,//static.votesmart.org/static/canphoto/207606.jpg,"
                Lady Dutchess

                (Lost)

                No Party Affiliation, Write-In
              ",H,https://static.votesmart.org/static/canphoto/207606.jpg,"Alaska
","U.S. House
","At-Large
"
"
                  Alaska
                  U.S. House
                  
                  
                  At-Large
                  
                  (Special Election)
                ",Al Gross,//static.votesmart.org/static/canphoto/192362.jpg,"
                Al Gross

                (Withdrawn)

                No Party Affiliation
              ",H,https://static.votesmart.org/static/canphoto/192362.jpg,"Alaska
","U.S. House
","At-Large
"
"
                  Alaska
                  U.S. House
                  
                  
                  At-Large
                  
                  (Special Election)
                ",Robert Ornelas,//static.votesmart.org/static/canphoto/143202.jpg,"
                Robert Ornelas

                (Lost)

                American Independent, Write-In
              ",H,https://static.votesmart.org/static/canphoto/143202.jpg,"Alaska
","U.S. House
","At-Large
"
"
                  Alaska
                  U.S. House
                  
                  
                  At-Large
                  
                  (Special Election)
                ",Sarah Palin,//static.votesmart.org/static/canphoto/27200.jpg,"
                Sarah Palin

                (Lost)

                Republican
              ",H,https://static.votesmart.org/static/canphoto/27200.jpg,"Alaska
","U.S. House
","At-Large
"
"
                  Alaska
                  U.S. House
                  
                  
                  At-Large
                  
                  (Special Election)
                ",Mary Peltola,//static.votesmart.org/static/canphoto/15858.jpg,"
                Mary Peltola

                (Won)

                Democratic
              ",H,https://static.votesmart.org/static/canphoto/15858.jpg,"Alaska
","U.S. House
","At-Large
"
"
                  Alaska
                  U.S. House
                  
                  
                  At-Large
                  
                  (Special Election)
                ",Sherry Strizak,//static.votesmart.org/static/canphoto/207821.jpg,"
                Sherry Strizak

                (Lost)

                Undeclared, Write-In
              ",H,https://static.votesmart.org/static/canphoto/207821.jpg,"Alaska
","U.S. House
","At-Large
"
"
                  Alaska
                  U.S. House
                  
                  
                  At-Large
                  
                  (Special Election)
                ",Tara Sweeney,//static.votesmart.org/static/canphoto/27209.jpg,"
                Tara Sweeney

                (Lost)

                Republican, Write-In
              ",H,https://static.votesmart.org/static/canphoto/27209.jpg,"Alaska
","U.S. House
","At-Large
"
"
                  Alaska
                  U.S. House
                  
                  
                  At-Large
                  
                  (Special Election)
                ",Ernest Thomas,//static.votesmart.org/static/canphoto/207622.jpg,"
                Ernest Thomas

                (Lost)

                Democratic, Write-In
              ",H,https://static.votesmart.org/static/canphoto/207622.jpg,"Alaska
","U.S. House
","At-Large
"
"
                  Alaska
                  U.S. House
                  
                  
                  At-Large
                  
                  
                ",David Ambrose,//static.votesmart.org/static/canphoto/210770.jpg,"
                David Ambrose

                (Running)

                Write-In
              ",H,https://static.votesmart.org/static/canphoto/210770.jpg,"Alaska
","U.S. House
","At-Large
"
"
                  Alaska
                  U.S. House
                  
                  
                  At-Large
                  
                  
                ",Jay Armstrong,//static.votesmart.org/static/canphoto/207599.jpg,"
                Jay Armstrong

                (Running)

                Republican, Write-In
              ",H,https://static.votesmart.org/static/canphoto/207599.jpg,"Alaska
","U.S. House
","At-Large
"
"
                  Alaska
                  U.S. House
                  
                  
                  At-Large
                  
                  
                ",Nick Begich III,//static.votesmart.org/static/canphoto/207684.jpg,"
                Nick Begich III

                (Running)

                Republican
              ",H,https://static.votesmart.org/static/canphoto/207684.jpg,"Alaska
","U.S. House
","At-Large
"
"
                  Alaska
                  U.S. House
                  
                  
                  At-Large
                  
                  
                ",Joe Bredar,//static.votesmart.org/static/canphoto/210771.jpg,"
                Joe Bredar

                (Running)

                Undeclared, Write-In
              ",H,https://static.votesmart.org/static/canphoto/210771.jpg,"Alaska
","U.S. House
","At-Large
"
"
                  Alaska
                  U.S. House
                  
                  
                  At-Large
                  
                  
                ",Chris Bye,//static.votesmart.org/static/canphoto/207603.jpg,"
                Chris Bye

                (Running)

                Libertarian
              ",H,https://static.votesmart.org/static/canphoto/207603.jpg,"Alaska
","U.S. House
","At-Large
"
"
                  Alaska
                  U.S. House
                  
                  
                  At-Large
                  
                  
                ",Lady Dutchess,//static.votesmart.org/static/canphoto/207606.jpg,"
                Lady Dutchess

                (Running)

                No Party Affiliation, Write-In
              ",H,https://static.votesmart.org/static/canphoto/207606.jpg,"Alaska
","U.S. House
","At-Large
"
"
                  Alaska
                  U.S. House
                  
                  
                  At-Large
                  
                  
                ",Sarah Palin,//static.votesmart.org/static/canphoto/27200.jpg,"
                Sarah Palin

                (Running)

                Republican
              ",H,https://static.votesmart.org/static/canphoto/27200.jpg,"Alaska
","U.S. House
","At-Large
"
"
                  Alaska
                  U.S. House
                  
                  
                  At-Large
                  
                  
                ",Mary Peltola,//static.votesmart.org/static/canphoto/15858.jpg,"
                Mary Peltola

                (Running)

                Democratic
              ",H,https://static.votesmart.org/static/canphoto/15858.jpg,"Alaska
","U.S. House
","At-Large
"
"
                  Alabama
                  U.S. Senate
                  
                  
                ","William Boyd, Jr.",//static.votesmart.org/static/canphoto/167060.jpg,"
                William Boyd, Jr.

                (Running)

                Democratic
              ",S,https://static.votesmart.org/static/canphoto/167060.jpg,"Alabama
","U.S. Senate
",
"
                  Alabama
                  U.S. Senate
                  
                  
                ",Katie Britt,//static.votesmart.org/static/canphoto/201704.jpg,"
                Katie Britt

                (Running)

                Republican
              ",S,https://static.votesmart.org/static/canphoto/201704.jpg,"Alabama
","U.S. Senate
",
"
                  Alabama
                  U.S. Senate
                  
                  
                ",John Sophocleus,//static.votesmart.org/static/canphoto/27538.jpg,"
                John Sophocleus

                (Running)

                Libertarian
              ",S,https://static.votesmart.org/static/canphoto/27538.jpg,"Alabama
","U.S. Senate
",
"
                  Alabama
                  U.S. House
                  
                  District 
                  1
                  
                  
                ",Jerry Carl,//static.votesmart.org/static/canphoto/143749.jpg,"
                Jerry Carl

                (Running)

                Republican
              ",H,https://static.votesmart.org/static/canphoto/143749.jpg,"Alabama
","U.S. House
","1
"
"
                  Alabama
                  U.S. House
                  
                  District 
                  1
                  
                  
                ",Alexander Remrey,//static.votesmart.org/static/canphoto/210129.jpg,"
                Alexander Remrey

                (Running)

                Libertarian
              ",H,https://static.votesmart.org/static/canphoto/210129.jpg,"Alabama
","U.S. House
","1
"
"
                  Alabama
                  U.S. House
                  
                  District 
                  2
                  
                  
                ",Phyllis Harvey-Hall,//static.votesmart.org/static/canphoto/188303.jpg,"
                Phyllis Harvey-Hall

                (Running)

                Democratic
              ",H,https://static.votesmart.org/static/canphoto/188303.jpg,"Alabama
","U.S. House
","2
"
"
                  Alabama
                  U.S. House
                  
                  District 
                  2
                  
                  
                ",Barry Moore,//static.votesmart.org/static/canphoto/121792.jpg,"
                Barry Moore

                (Running)

                Republican
              ",H,https://static.votesmart.org/static/canphoto/121792.jpg,"Alabama
","U.S. House
","2
"
"
                  Alabama
                  U.S. House
                  
                  District 
                  2
                  
                  
                ",Jonathan Realz,//static.votesmart.org/static/canphoto/209789.jpg,"
                Jonathan Realz

                (Running)

                Libertarian
              ",H,https://static.votesmart.org/static/canphoto/209789.jpg,"Alabama
","U.S. House
","2
"
"
                  Alabama
                  U.S. House
                  
                  District 
                  3
                  
                  
                ",Douglas Bell,//static.votesmart.org/static/canphoto/168137.jpg,"
                Douglas Bell

                (Running)

                Independent
              ",H,https://static.votesmart.org/static/canphoto/168137.jpg,"Alabama
","U.S. House
","3
"
"
                  Alabama
                  U.S. House
                  
                  District 
                  3
                  
                  
                ",Thomas Casson,//static.votesmart.org/static/canphoto/149887.jpg,"
                Thomas Casson

                (Running)

                Libertarian
              ",H,https://static.votesmart.org/static/canphoto/149887.jpg,"Alabama
","U.S. House
","3
"
"
                  Alabama
                  U.S. House
                  
                  District 
                  3
                  
                  
                ",Mike Rogers,//static.votesmart.org/static/canphoto/5705.jpg,"
                Mike Rogers

                (Running)

                Republican
              ",H,https://static.votesmart.org/static/canphoto/5705.jpg,"Alabama
","U.S. House
","3
"
"
                  Alabama
                  U.S. House
                  
                  District 
                  3
                  
                  
                ",Lin Veasey,//static.votesmart.org/static/canphoto/207106.jpg,"
                Lin Veasey

                (Running)

                Democratic
              ",H,https://static.votesmart.org/static/canphoto/207106.jpg,"Alabama
","U.S. House
","3
"
"
                  Alabama
                  U.S. House
                  
                  District 
                  4
                  
                  
                ",Robert Aderholt,//static.votesmart.org/static/canphoto/441.jpg,"
                Robert Aderholt

                (Running)

                Republican
              ",H,https://static.votesmart.org/static/canphoto/441.jpg,"Alabama
","U.S. House
","4
"
"
                  Alabama
                  U.S. House
                  
                  District 
                  4
                  
                  
                ",Johnny Cochran,//static.votesmart.org/static/canphoto/210130.jpg,"
                Johnny Cochran

                (Running)

                Libertarian
              ",H,https://static.votesmart.org/static/canphoto/210130.jpg,"Alabama
","U.S. House
","4
"
"
                  Alabama
                  U.S. House
                  
                  District 
                  4
                  
                  
                ",Rick Neighbors,//static.votesmart.org/static/canphoto/135112.jpg,"
                Rick Neighbors

                (Running)

                Democratic
              ",H,https://static.votesmart.org/static/canphoto/135112.jpg,"Alabama
","U.S. House
","4
"
"
                  Alabama
                  U.S. House
                  
                  District 
                  5
                  
                  
                ",Phillip Greer,//static.votesmart.org/static/canphoto/210131.jpg,"
                Phillip Greer

                (Running)

                Libertarian
              ",H,https://static.votesmart.org/static/canphoto/210131.jpg,"Alabama
","U.S. House
","5
"
"
                  Alabama
                  U.S. House
                  
                  District 
                  5
                  
                  
                ",Dale Strong,//static.votesmart.org/static/canphoto/81485.jpg,"
                Dale Strong

                (Running)

                Republican
              ",H,https://static.votesmart.org/static/canphoto/81485.jpg,"Alabama
","U.S. House
","5
"
"
                  Alabama
                  U.S. House
                  
                  District 
                  5
                  
                  
                ",Kathy Warner-Stanton,//static.votesmart.org/static/canphoto/201699.jpg,"
                Kathy Warner-Stanton

                (Running)

                Democratic
              ",H,https://static.votesmart.org/static/canphoto/201699.jpg,"Alabama
","U.S. House
","5
"
"
                  Alabama
                  U.S. House
                  
                  District 
                  6
                  
                  
                ",Andria Chieffo,//static.votesmart.org/static/canphoto/210132.jpg,"
                Andria Chieffo

                (Running)

                Libertarian
              ",H,https://static.votesmart.org/static/canphoto/210132.jpg,"Alabama
","U.S. House
","6
"
"
                  Alabama
                  U.S. House
                  
                  District 
                  6
                  
                  
                ",Gary Palmer,//static.votesmart.org/static/canphoto/146274.jpg,"
                Gary Palmer

                (Running)

                Republican
              ",H,https://static.votesmart.org/static/canphoto/146274.jpg,"Alabama
","U.S. House
","6
"
"
                  Alabama
                  U.S. House
                  
                  District 
                  7
                  
                  
                ",Gavin Goodman,//static.votesmart.org/static/canphoto/210133.jpg,"
                Gavin Goodman

                (Running)

                Libertarian
              ",H,https://static.votesmart.org/static/canphoto/210133.jpg,"Alabama
","U.S. House
","7
"
"
                  Alabama
                  U.S. House
                  
                  District 
                  7
                  
                  
                ",Beatrice Nichols,//static.votesmart.org/static/canphoto/201713.jpg,"
                Beatrice Nichols

                (Running)

                Republican
              ",H,https://static.votesmart.org/static/canphoto/201713.jpg,"Alabama
","U.S. House
","7
"
"
                  Alabama
                  U.S. House
                  
                  District 
                  7
                  
                  
                ",Terri Sewell,//static.votesmart.org/static/canphoto/121621.jpg,"
                Terri Sewell

                (Running)

                Democratic
              ",H,https://static.votesmart.org/static/canphoto/121621.jpg,"Alabama
","U.S. House
","7
"
"
                  Arkansas
                  U.S. Senate
                  
                  
                ",John Boozman,//static.votesmart.org/static/canphoto/27958.jpg,"
                John Boozman

                (Running)

                Republican
              ",S,https://static.votesmart.org/static/canphoto/27958.jpg,"Arkansas
","U.S. Senate
",
"
                  Arkansas
                  U.S. Senate
                  
                  
                ",Kenneth Cates,//static.votesmart.org/static/canphoto/202472.jpg,"
                Kenneth Cates

                (Running)

                Libertarian
              ",S,https://static.votesmart.org/static/canphoto/202472.jpg,"Arkansas
","U.S. Senate
",
"
                  Arkansas
                  U.S. Senate
                  
                  
                ",Richard Gant,//static.votesmart.org/static/canphoto/202471.jpg,"
                Richard Gant

                (Running)

                Write-In
              ",S,https://static.votesmart.org/static/canphoto/202471.jpg,"Arkansas
","U.S. Senate
",
"
                  Arkansas
                  U.S. Senate
                  
                  
                ",James Garner,//static.votesmart.org/static/canphoto/202481.jpg,"
                James Garner

                (Running)

                Write-In
              ",S,https://static.votesmart.org/static/canphoto/202481.jpg,"Arkansas
","U.S. Senate
",
"
                  Arkansas
                  U.S. Senate
                  
                  
                ",Natalie James,//static.votesmart.org/static/canphoto/202477.jpg,"
                Natalie James

                (Running)

                Democratic
              ",S,https://static.votesmart.org/static/canphoto/202477.jpg,"Arkansas
","U.S. Senate
",
"
                  Arkansas
                  U.S. Senate
                  
                  
                ",Stuart Shirrell,//static.votesmart.org/static/canphoto/202470.jpg,"
                Stuart Shirrell

                (Running)

                Independent
              ",S,https://static.votesmart.org/static/canphoto/202470.jpg,"Arkansas
","U.S. Senate
",
"
                  Arkansas
                  U.S. House
                  
                  District 
                  1
                  
                  
                ",Rick Crawford,//static.votesmart.org/static/canphoto/119208.jpg,"
                Rick Crawford

                (Running)

                Republican
              ",H,https://static.votesmart.org/static/canphoto/119208.jpg,"Arkansas
","U.S. House
","1
"
"
                  Arkansas
                  U.S. House
                  
                  District 
                  1
                  
                  
                ",Roger Daugherty,//static.votesmart.org/static/canphoto/202460.jpg,"
                Roger Daugherty

                (Running)

                Independent
              ",H,https://static.votesmart.org/static/canphoto/202460.jpg,"Arkansas
","U.S. House
","1
"
"
                  Arkansas
                  U.S. House
                  
                  District 
                  1
                  
                  
                ",Monte Hodges,//static.votesmart.org/static/canphoto/136675.jpg,"
                Monte Hodges

                (Running)

                Democratic
              ",H,https://static.votesmart.org/static/canphoto/136675.jpg,"Arkansas
","U.S. House
","1
"
"
                  Arkansas
                  U.S. House
                  
                  District 
                  2
                  
                  
                ",Quintessa Hathaway,//static.votesmart.org/static/canphoto/202465.jpg,"
                Quintessa Hathaway

                (Running)

                Democratic
              ",H,https://static.votesmart.org/static/canphoto/202465.jpg,"Arkansas
","U.S. House
","2
"
"
                  Arkansas
                  U.S. House
                  
                  District 
                  2
                  
                  
                ",French Hill,//static.votesmart.org/static/canphoto/146290.jpg,"
                French Hill

                (Running)

                Republican
              ",H,https://static.votesmart.org/static/canphoto/146290.jpg,"Arkansas
","U.S. House
","2
"
"
                  Arkansas
                  U.S. House
                  
                  District 
                  2
                  
                  
                ",Michael White,//static.votesmart.org/static/canphoto/202464.jpg,"
                Michael White

                (Running)

                Libertarian
              ",H,https://static.votesmart.org/static/canphoto/202464.jpg,"Arkansas
","U.S. House
","2
"
"
                  Arkansas
                  U.S. House
                  
                  District 
                  3
                  
                  
                ",Michael Kalagias,//static.votesmart.org/static/canphoto/150257.jpg,"
                Michael Kalagias

                (Running)

                Libertarian
              ",H,https://static.votesmart.org/static/canphoto/150257.jpg,"Arkansas
","U.S. House
","3
"
"
                  Arkansas
                  U.S. House
                  
                  District 
                  3
                  
                  
                ",Lauren Mallett-Hays,//static.votesmart.org/static/canphoto/202467.jpg,"
                Lauren Mallett-Hays

                (Running)

                Democratic
              ",H,https://static.votesmart.org/static/canphoto/202467.jpg,"Arkansas
","U.S. House
","3
"
"
                  Arkansas
                  U.S. House
                  
                  District 
                  3
                  
                  
                ",Steve Womack,//static.votesmart.org/static/canphoto/71815.jpg,"
                Steve Womack

                (Running)

                Republican
              ",H,https://static.votesmart.org/static/canphoto/71815.jpg,"Arkansas
","U.S. House
","3
"
"
                  Arkansas
                  U.S. House
                  
                  District 
                  4
                  
                  
                ",Gregory Maxwell,//static.votesmart.org/static/canphoto/202469.jpg,"
                Gregory Maxwell

                (Running)

                Libertarian
              ",H,https://static.votesmart.org/static/canphoto/202469.jpg,"Arkansas
","U.S. House
","4
"
"
                  Arkansas
                  U.S. House
                  
                  District 
                  4
                  
                  
                ",Bruce Westerman,//static.votesmart.org/static/canphoto/119120.jpg,"
                Bruce Westerman

                (Running)

                Republican
              ",H,https://static.votesmart.org/static/canphoto/119120.jpg,"Arkansas
","U.S. House
","4
"
"
                  Arkansas
                  U.S. House
                  
                  District 
                  4
                  
                  
                ",John White,//static.votesmart.org/static/canphoto/202468.jpg,"
                John White

                (Running)

                Democratic
              ",H,https://static.votesmart.org/static/canphoto/202468.jpg,"Arkansas
","U.S. House
","4
"
"
                  American Samoa
                  U.S. House
                  
                  
                  Delegate
                  
                  
                ",Aumua Amata Radewagen,//static.votesmart.org/static/canphoto/128380.jpg,"
                Aumua Amata Radewagen

                (Running)

                Republican
              ",H,https://static.votesmart.org/static/canphoto/128380.jpg,"American Samoa
","U.S. House
","Delegate
"
"
                  Arizona
                  U.S. Senate
                  
                  
                ",Sherrise Bordes,//static.votesmart.org/static/canphoto/210735.jpg,"
                Sherrise Bordes

                (Running)

                Republican, Write-In
              ",S,https://static.votesmart.org/static/canphoto/210735.jpg,"Arizona
","U.S. Senate
",
"
                  Arizona
                  U.S. Senate
                  
                  
                ",Christopher Bullock,//static.votesmart.org/static/canphoto/210720.jpg,"
                Christopher Bullock

                (Running)

                Republican, Write-In
              ",S,https://static.votesmart.org/static/canphoto/210720.jpg,"Arizona
","U.S. Senate
",
"
                  Arizona
                  U.S. Senate
                  
                  
                ",Edward Davida,//static.votesmart.org/static/canphoto/210618.jpg,"
                Edward Davida

                (Running)

                Republican, Write-In
              ",S,https://static.votesmart.org/static/canphoto/210618.jpg,"Arizona
","U.S. Senate
",
"
                  Arizona
                  U.S. Senate
                  
                  
                ",Mark Kelly,//static.votesmart.org/static/canphoto/190594.jpg,"
                Mark Kelly

                (Running)

                Democratic
              ",S,https://static.votesmart.org/static/canphoto/190594.jpg,"Arizona
","U.S. Senate
",
"
                  Arizona
                  U.S. Senate
                  
                  
                ",Blake Masters,//static.votesmart.org/static/canphoto/205876.jpg,"
                Blake Masters

                (Running)

                Republican
              ",S,https://static.votesmart.org/static/canphoto/205876.jpg,"Arizona
","U.S. Senate
",
"
                  Arizona
                  U.S. Senate
                  
                  
                ","Lester Maul, Jr.",//static.votesmart.org/static/canphoto/156621.jpg,"
                Lester Maul, Jr.

                (Running)

                Independent, Write-In
              ",S,https://static.votesmart.org/static/canphoto/156621.jpg,"Arizona
","U.S. Senate
",
"
                  Arizona
                  U.S. Senate
                  
                  
                ","Ty McLean, Jr.",//static.votesmart.org/static/canphoto/210620.jpg,"
                Ty McLean, Jr.

                (Running)

                Democratic, Write-In
              ",S,https://static.votesmart.org/static/canphoto/210620.jpg,"Arizona
","U.S. Senate
",
"
                  Arizona
                  U.S. Senate
                  
                  
                ",Roxanne Rodriguez,//static.votesmart.org/static/canphoto/210619.jpg,"
                Roxanne Rodriguez

                (Running)

                Republican, Write-In
              ",S,https://static.votesmart.org/static/canphoto/210619.jpg,"Arizona
","U.S. Senate
",
"
                  Arizona
                  U.S. Senate
                  
                  
                ",Todd Smeltzer,//static.votesmart.org/static/canphoto/210766.jpg,"
                Todd Smeltzer

                (Running)

                Democratic, Write-In
              ",S,https://static.votesmart.org/static/canphoto/210766.jpg,"Arizona
","U.S. Senate
",
"
                  Arizona
                  U.S. Senate
                  
                  
                ",William Taylor,//static.votesmart.org/static/canphoto/210721.jpg,"
                William Taylor

                (Running)

                Democratic, Write-In
              ",S,https://static.votesmart.org/static/canphoto/210721.jpg,"Arizona
","U.S. Senate
",
"
                  Arizona
                  U.S. Senate
                  
                  
                ",Marc Victor,//static.votesmart.org/static/canphoto/143431.jpg,"
                Marc Victor

                (Running)

                Libertarian
              ",S,https://static.votesmart.org/static/canphoto/143431.jpg,"Arizona
","U.S. Senate
",
"
                  Arizona
                  U.S. House
                  
                  District 
                  1
                  
                  
                ",Jevin Hodge,//static.votesmart.org/static/canphoto/205882.jpg,"
                Jevin Hodge

                (Running)

                Democratic
              ",H,https://static.votesmart.org/static/canphoto/205882.jpg,"Arizona
","U.S. House
","1
"
"
                  Arizona
                  U.S. House
                  
                  District 
                  1
                  
                  
                ",David Schweikert,//static.votesmart.org/static/canphoto/106387.jpg,"
                David Schweikert

                (Running)

                Republican
              ",H,https://static.votesmart.org/static/canphoto/106387.jpg,"Arizona
","U.S. House
","1
"
"
                  Arizona
                  U.S. House
                  
                  District 
                  2
                  
                  
                ",Eli Crane,//static.votesmart.org/static/canphoto/205885.jpg,"
                Eli Crane

                (Running)

                Republican
              ",H,https://static.votesmart.org/static/canphoto/205885.jpg,"Arizona
","U.S. House
","2
"
"
                  Arizona
                  U.S. House
                  
                  District 
                  2
                  
                  
                ",Tom O'Halleran,//static.votesmart.org/static/canphoto/28499.jpg,"
                Tom O'Halleran

                (Running)

                Democratic
              ",H,https://static.votesmart.org/static/canphoto/28499.jpg,"Arizona
","U.S. House
","2
"
"
                  Arizona
                  U.S. House
                  
                  District 
                  2
                  
                  
                ",Chris Sarappo,//static.votesmart.org/static/canphoto/210621.jpg,"
                Chris Sarappo

                (Running)

                Independent, Write-In
              ",H,https://static.votesmart.org/static/canphoto/210621.jpg,"Arizona
","U.S. House
","2
"
"
                  Arizona
                  U.S. House
                  
                  District 
                  3
                  
                  
                ",Ruben Gallego,//static.votesmart.org/static/canphoto/123732.jpg,"
                Ruben Gallego

                (Running)

                Democratic
              ",H,https://static.votesmart.org/static/canphoto/123732.jpg,"Arizona
","U.S. House
","3
"
"
                  Arizona
                  U.S. House
                  
                  District 
                  3
                  
                  
                ",Jeff Zink,//static.votesmart.org/static/canphoto/205890.jpg,"
                Jeff Zink

                (Running)

                Republican
              ",H,https://static.votesmart.org/static/canphoto/205890.jpg,"Arizona
","U.S. House
","3
"
"
                  Arizona
                  U.S. House
                  
                  District 
                  4
                  
                  
                ",Kelly Cooper,//static.votesmart.org/static/canphoto/205891.jpg,"
                Kelly Cooper

                (Running)

                Republican
              ",H,https://static.votesmart.org/static/canphoto/205891.jpg,"Arizona
","U.S. House
","4
"
"
                  Arizona
                  U.S. House
                  
                  District 
                  4
                  
                  
                ",Stephan Jones,//static.votesmart.org/static/canphoto/210622.jpg,"
                Stephan Jones

                (Running)

                Independent, Write-In
              ",H,https://static.votesmart.org/static/canphoto/210622.jpg,"Arizona
","U.S. House
","4
"
"
                  Arizona
                  U.S. House
                  
                  District 
                  4
                  
                  
                ",Greg Stanton,//static.votesmart.org/static/canphoto/72030.jpg,"
                Greg Stanton

                (Running)

                Democratic
              ",H,https://static.votesmart.org/static/canphoto/72030.jpg,"Arizona
","U.S. House
","4
"
"
                  Arizona
                  U.S. House
                  
                  District 
                  5
                  
                  
                ",Andy Biggs,//static.votesmart.org/static/canphoto/28088.jpg,"
                Andy Biggs

                (Running)

                Republican
              ",H,https://static.votesmart.org/static/canphoto/28088.jpg,"Arizona
","U.S. House
","5
"
"
                  Arizona
                  U.S. House
                  
                  District 
                  5
                  
                  
                ",Debra Borden,//static.votesmart.org/static/canphoto/210736.jpg,"
                Debra Borden

                (Running)

                Democratic, Write-In
              ",H,https://static.votesmart.org/static/canphoto/210736.jpg,"Arizona
","U.S. House
","5
"
"
                  Arizona
                  U.S. House
                  
                  District 
                  5
                  
                  
                ",Javier Ramos,//static.votesmart.org/static/canphoto/190603.jpg,"
                Javier Ramos

                (Running)

                Democratic
              ",H,https://static.votesmart.org/static/canphoto/190603.jpg,"Arizona
","U.S. House
","5
"
"
                  Arizona
                  U.S. House
                  
                  District 
                  5
                  
                  
                ",Clint Smith,//static.votesmart.org/static/canphoto/210623.jpg,"
                Clint Smith

                (Running)

                Independent
              ",H,https://static.votesmart.org/static/canphoto/210623.jpg,"Arizona
","U.S. House
","5
"
"
                  Arizona
                  U.S. House
                  
                  District 
                  6
                  
                  
                ",Frank Bertone,//static.votesmart.org/static/canphoto/185456.jpg,"
                Frank Bertone

                (Running)

                Write-In
              ",H,https://static.votesmart.org/static/canphoto/185456.jpg,"Arizona
","U.S. House
","6
"
"
                  Arizona
                  U.S. House
                  
                  District 
                  6
                  
                  
                ",Juan Ciscomani,//static.votesmart.org/static/canphoto/106728.jpg,"
                Juan Ciscomani

                (Running)

                Republican
              ",H,https://static.votesmart.org/static/canphoto/106728.jpg,"Arizona
","U.S. House
","6
"
"
                  Arizona
                  U.S. House
                  
                  District 
                  6
                  
                  
                ",Kirsten Engel,//static.votesmart.org/static/canphoto/171720.jpg,"
                Kirsten Engel

                (Running)

                Democratic
              ",H,https://static.votesmart.org/static/canphoto/171720.jpg,"Arizona
","U.S. House
","6
"
"
                  Arizona
                  U.S. House
                  
                  District 
                  6
                  
                  
                ",Avery Thornton,//static.votesmart.org/static/canphoto/210624.jpg,"
                Avery Thornton

                (Running)

                Democratic, Write-In
              ",H,https://static.votesmart.org/static/canphoto/210624.jpg,"Arizona
","U.S. House
","6
"
