wmpid,face_url_2022,face_category_2022,face_2022,full_name
WMPID4828,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Patricia-Chesbro.PNG,Sen,yes,Patricia Chesbro
WMPID4999,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Buzz-Kelley.PNG,Sen,yes,Buzz Kelley
WMPID3864,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/brittkatie.jpg,Sen,yes,Katie Boyd Britt
WMPID2592,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Jarmal_Jabbar_Sanders.jpeg,Sen,yes,Jarmal Jabbar Sander
WMPID1966,https://cdn.ballotpedia.org/images/f/fb/Silhouette_Placeholder_Image.png,Sen,yes,Richard Adam Bowers
WMPID3679,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/WillBoyd2.jpg,Sen,yes,Willie Eugene Jr. Boyd
WMPID5101,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/John_SophocleusAL.png,Sen,yes,John Sophocleus
WMPID1969,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Natalie-James.PNG,Sen,yes,Natalie James
WMPID1592,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Kenneth_Cates.jpg,Sen,yes,Kenneth Cates
WMPID1684,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Stuart-Shirrell.PNG,Sen,yes,Stuart Shirrell
WMPID4444,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Richard-Gant.jpeg,Sen,yes,Nap Gant
WMPID4666,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/James-Garner.jpeg,Sen,yes,James Garner
WMPID3625,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/MarcVictor.jpg,Sen,yes,Marc Victor
WMPID3907,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/bmasters.jpg,Sen,yes,Blake Masters
WMPID1456,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Alex-Padilla.jpg,Sen,yes,Alex Padilla
WMPID3569,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Mark-Meuser.PNG,Sen,yes,Mark Meuser
WMPID1859,https://cdn.ballotpedia.org/images/f/fb/Silhouette_Placeholder_Image.png,Sen,yes,Aaron David Trevi?O
WMPID3196,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Joe-ODea.PNG,Sen,yes,Joseph Matthew O'Dea
WMPID1773,https://cdn.ballotpedia.org/images/f/fb/Silhouette_Placeholder_Image.png,Sen,yes,Teal'C Anderson
WMPID3422,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Frank_Atwood.jpg,Sen,yes,Frank Fisher Atwood
WMPID4019,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Leora-Levy.PNG,Sen,yes,Leora Levy
WMPID4773,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/KristiTalmadge.jpg,Sen,yes,Kristi Talmadge
WMPID3659,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Steven_B_Grant.jpg,Sen,yes,Steven Grant
WMPID176,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Dennis_Misigoy.jpg,Sen,yes,Dennis Misigoy
WMPID787,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Val-Demings.PNG,Sen,yes,Val Demings
WMPID2873,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/TuanNguyen.jpg,Sen,yes,Quoc Tuan Nguyen
WMPID3076,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/UlomaEkpete.png,Sen,yes,Uloma Uma Ekpete
WMPID1644,,Sen,yes,Salomon Sr. Hernandez
WMPID2249,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Moses_Quiles.jpg,Sen,yes,Moses Quiles
WMPID4511,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Herschel_Walker.png,Sen,yes,Herschel Walker
WMPID3554,,Sen,yes,Eric Chase Johnson
WMPID4086,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/ChaseOliver.jpg,Sen,yes,Oliver Chase
WMPID2612,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Bob-McDermott.jpg,Sen,yes,Robert Mcdermott
WMPID3712,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/FeenaBonoan4.jpg,Sen,yes,Feena Bonoan
WMPID4797,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Emma_Pohlman.jpeg,Sen,yes,Emma Jane Avila Pohlman
WMPID4847,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Dan_Decker.png,Sen,yes,Daniel Burt IV Decker
WMPID2549,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/FrankenMikeHeadshot.jpg,Sen,yes,Michael Franken
WMPID2511,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Scott_Cleveland.jpg,Sen,yes,Scott Oh Cleveland
WMPID2576,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/DavidRoth.jpg,Sen,yes,David Jordan Roth
WMPID3320,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Oct72020530AM_80182230_IdahoLawPicDLCongressforIL.png,Sen,yes,Carta Reale Sierra
WMPID3751,,Sen,yes,Daniel Hauskins
WMPID4183,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Bill_Redpath1.jpeg,Sen,yes,William Redpath
WMPID2659,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/KathySalvi.jpg,Sen,yes,Kathy Raye Salvi
WMPID2419,,Sen,yes,Bradley Lamar Jr. Horges
WMPID4510,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Haneefah-Khaaliq.jpg,Sen,yes,Haneefah Khaaliq
WMPID3496,https://cdn.ballotpedia.org/images/f/fb/Silhouette_Placeholder_Image.png,Sen,yes,Jason Gabehart
WMPID241,https://cdn.ballotpedia.org/images/f/fb/Silhouette_Placeholder_Image.png,Sen,yes,Ellen Kizik
WMPID1575,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/mcd4c_headshot.jpg,Sen,yes,Thomas Jr Mcdermott
WMPID3441,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/James_Sceniak.jpg,Sen,yes,James Sceniak
WMPID3765,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Mark_Holland2022.jpg,Sen,yes,Mark Holland
WMPID5153,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/David-Graham.PNG,Sen,yes,David Graham
WMPID2695,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/David_Biery.jpeg,Sen,yes,David Biery
WMPID2339,,Sen,yes,Nicholas Parham
WMPID4438,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/mixonluke.jpg,Sen,yes,Luke Mixon
WMPID4532,,Sen,yes,Michael Dukes Victorian
WMPID4727,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/_DSC9626-min.jpg,Sen,yes,Gary Jr. Chambers
WMPID3983,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Syrita_Steib1.png,Sen,yes,Syrita Steib
WMPID4822,https://cdn.ballotpedia.org/images/f/fb/Silhouette_Placeholder_Image.png,Sen,yes,Albert Kyder
WMPID1507,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/MVMendoza1-min.jpg,Sen,yes,Vinny Mendoza
WMPID1722,https://cdn.ballotpedia.org/images/f/fb/Silhouette_Placeholder_Image.png,Sen,yes,Nicholas Crane Strauss
WMPID4545,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Eric-Schmitt.PNG,Sen,yes,Eric Schmitt
WMPID1599,https://cdn.ballotpedia.org/images/f/fb/Silhouette_Placeholder_Image.png,Sen,yes,Steven Craig Price
WMPID4178,,Sen,yes,Leonard Tunnell
WMPID4659,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/TrudyBuschValentine.png,Sen,yes,Trudy Busch Valentine
WMPID4903,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/289447832_109033701848963_5180864248405293115_n.jpg,Sen,yes,John Frederick Wood
WMPID5005,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Paul-Venable.PNG,Sen,yes,Paul Venable
WMPID3087,https://cdn.ballotpedia.org/images/f/fb/Silhouette_Placeholder_Image.png,Sen,yes,Hayden Zel None Boyette
WMPID4423,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/kimrey.jpg,Sen,yes,Kimrey Woodards. Rhinehardt
WMPID3197,https://cdn.ballotpedia.org/images/f/fb/Silhouette_Placeholder_Image.png,Sen,yes,Brenda Laney Rodriguez
WMPID3297,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Cheri_Beasley.jpg,Sen,yes,Cheri Beasley
WMPID3949,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Ted-Budd.PNG,Sen,yes,Theodore Budd
WMPID3021,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Matthew_Hoh1.jpeg,Sen,yes,Matthew Patrick Hoh
WMPID4235,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Marc_White.jpeg,Sen,yes,Marc Michael White
WMPID1886,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/MichelleLewis.jpeg,Sen,yes,Michelle Estelle Lewis
WMPID2989,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/KatrinaChristiansen.jpg,Sen,yes,Katrina Christiansen
WMPID2496,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Jeremy_Kauffman___.jpg,Sen,yes,Jeremy Kauffman
WMPID4165,,Sen,yes,Peter John Griffin
WMPID2154,,Sen,yes,Gretchen Rae Lowe
WMPID2987,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/AdamLaxalt2015.jpg,Sen,yes,Adam Laxalt
WMPID1989,"https://img1.wsimg.com/isteam/ip/3ecbf67c-ddf5-4a93-8f4f-9ae81bf87cf6/ADB2519E-6550-4D5E-8176-03897ECD76AB.jpeg/:/cr=t:0%25,l:0%25,w:100%25,h:100%25/rs=w:1073,cg:true",Sen,yes,Joseph Destin
WMPID5009,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Barry_lindemann.jpg,Sen,yes,Barry Lindemann
WMPID3120,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Diane-Sare.PNG,Sen,yes,Diane Wilson Sare
WMPID3922,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/May242020355AM_80182230_CampaignHeadshot.jpg,Sen,yes,Joel Anabilah-Azumah
WMPID468,https://cdn.ballotpedia.org/images/f/fb/Silhouette_Placeholder_Image.png,Sen,yes,Luca Nascimbene
WMPID3228,https://cdn.ballotpedia.org/images/f/fb/Silhouette_Placeholder_Image.png,Sen,yes,Mohammad Mokhtar Ahmed
WMPID3108,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/joepinion.JPG,Sen,yes,Joseph III Pinion
WMPID4034,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/WalterMasterson.png,Sen,yes,Walter Joseph Masterson
WMPID2324,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Vivika_Alexander.png,Sen,yes,Vivika Alexander
WMPID4091,https://cdn.ballotpedia.org/images/f/fb/Silhouette_Placeholder_Image.png,Sen,yes,Dominic James Jr. Lacavera
WMPID3360,https://scontent-lga3-2.xx.fbcdn.net/v/t39.30808-6/319984556_678342187179291_966731306737248285_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=09cbfe&_nc_ohc=ZQRgvA6BT-8AX_Ytx02&_nc_ht=scontent-lga3-2.xx&oh=00_AfB-kvz0vy_Irky1Cf2U4vCgD6V7K_z8kYYBDtIOYpljmw&oe=63AC02AB,Sen,yes,Shawn Mousourakis
WMPID1763,https://cdn.ballotpedia.org/images/f/fb/Silhouette_Placeholder_Image.png,Sen,yes,Eric Richard Reverend Meiring
WMPID3217,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Tim_Ryan_OH.JPG,Sen,yes,Timothy Ryan
WMPID3111,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Samuel_Ronan1.jpg,Sen,yes,Samuel Ronan
WMPID3328,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/J.D._Vance.png,Sen,yes,J D Vance
WMPID3267,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Bill_Graham.jpeg,Sen,yes,Robert William Graham
WMPID3936,https://cdn.ballotpedia.org/images/f/fb/Silhouette_Placeholder_Image.png,Sen,yes,Chad Alan Taylor
WMPID3332,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Jason_Bollinger.jpeg,Sen,yes,Jason Bollinger
WMPID3844,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Madison-Horn.PNG,Sen,yes,Madison Horn
WMPID834,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Markwayne-Mullin.PNG,Sen,yes,Markwayne Mullin
WMPID1214,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/KENDRA_HORN.jpg,Sen,yes,Kendra Horn
WMPID1756,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Kenneth-Blevins.PNG,Sen,yes,Kenneth Blevins
WMPID4906,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/MichaelLDelane.jpg,Sen,yes,Michael Delaney
WMPID2221,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Dan-Pulju.PNG,Sen,yes,Dan Pulju
WMPID1753,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Michael_Stettler.jpeg,Sen,yes,Michael Kurt Stettler
WMPID5125,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/chenry.jpeg,Sen,yes,Chris Henry
WMPID2723,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Everett_Stern113.JPG,Sen,yes,Everett Stern
WMPID2092,,Sen,yes,Walter Steve Sluzynsky
WMPID1790,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/moz.jpg,Sen,yes,Mehmet Oz
WMPID3219,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Quincy_Magee.jpeg,Sen,yes,Quincy Magee
WMPID4173,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/ErikGerhardt.png,Sen,yes,Erik Gerhardt
WMPID2117,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Krystle_Matthews1.jpg,Sen,yes,Krystle Matthews
WMPID4327,https://cdn.ballotpedia.org/images/f/fb/Silhouette_Placeholder_Image.png,Sen,yes,Larry Jr Adams
WMPID3203,,Sen,yes,William Wise Murray Iv
WMPID3780,,Sen,yes,Nate Dixon
WMPID5066,https://cdn.ballotpedia.org/images/thumb/f/fb/Silhouette_Placeholder_Image.png/150px-Silhouette_Placeholder_Image.png,Sen,yes,Jesse Harper
WMPID1465,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/John_Thune.jpg,Sen,yes,John Thune
WMPID2037,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Brian-Bengs.PNG,Sen,yes,Brian Bengs
WMPID5113,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Tamara_Lesnar.jpg,Sen,yes,Tamara Lesnar
WMPID3978,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Evan-McMullin.PNG,Sen,yes,David Evan Mcmullin
WMPID4530,https://cdn.ballotpedia.org/images/thumb/f/fb/Silhouette_Placeholder_Image.png/150px-Silhouette_Placeholder_Image.png,Sen,yes,Tommy Williams
WMPID4261,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/James-Arthur-Hansen.PNG,Sen,yes,James Arthur Hansen
WMPID4959,https://cdn.ballotpedia.org/images/f/fb/Silhouette_Placeholder_Image.png,Sen,yes,Michael Joseph Seguin
WMPID4493,https://cdn.ballotpedia.org/images/f/fb/Silhouette_Placeholder_Image.png,Sen,yes,C. Mark Coester
WMPID4322,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/118846100_2683122731927053_4397710660880059030_n.jpg,Sen,yes,Brock Pierce
WMPID1029,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Peter-Welch.jpg,Sen,yes,Peter Welch
WMPID3158,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/KerryRahebVT.png,Sen,yes,Kerry Raheb
WMPID3442,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/ChristopherHelali.jpg,Sen,yes,Christopher Joseph Helali
WMPID4168,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Gerald_Malloy.jpeg,Sen,yes,Gerald Malloy
WMPID1273,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/CrisEricson.jpg,Sen,yes,Cris Ericson
WMPID5029,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Martha_Abbott.jpg,Sen,yes,Martha Abbott
WMPID1469,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Patty_Murray.jpg,Sen,yes,Patty Murray
WMPID2158,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/TiffanySmiley.jpeg,Sen,yes,Tiffany Smiley
WMPID3887,,Sen,yes,Samuel Nicholas D?Amico
WMPID2352,https://cdn.ballotpedia.org/images/thumb/f/fb/Silhouette_Placeholder_Image.png/150px-Silhouette_Placeholder_Image.png,Sen,yes,Scott Alan Aubart
WMPID4650,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Mandela-Barnes.jpg,Sen,yes,Mandela Barnes
WMPID1471,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Lisa_Murkowski.jpg,Sen,yes,Lisa Murkowski
WMPID1478,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Brian_Schatz__official_portrait__113th_Congress_2-7_fixed.jpg,Sen,yes,Brian Schatz
WMPID1481,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/John_Neely_Kennedy__official_portrait__115th_Congress_2-7_fixed.jpg,Sen,yes,John Kennedy
WMPID4986,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/bradleymcmorrisimage1.jpeg,Sen,yes,Brannon Mcmorris
WMPID1492,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/James_Lankford.jpg,Sen,yes,James Lankford
WMPID5129,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/RayWoods.jpg,Sen,yes,Ray Woods
WMPID1493,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/jo_rae_perkinsor1.png,Sen,yes,Jo Rae Perkins
WMPID1495,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Tim_Scott.jpeg,Sen,yes,Tim Scott
WMPID1504,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Tammy_Duckworth__official_portrait__113th_Congress-7_fixed.jpg,Sen,yes,Tammy Duckworth
WMPID1505,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Todd_C._Young.jpg,Sen,yes,Todd Young
WMPID1510,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Chris_van_Hollen.jpg,Sen,yes,Chris Van Hollen
WMPID4810,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Chris-Chaffee.PNG,Sen,yes,Chris Chaffee
WMPID1514,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Maggie_Hassan__official_portrait__115th_Congress_fixed.jpg,Sen,yes,Margaret Hassan
WMPID1516,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Catherine_Cortez_Masto.jpg,Sen,yes,Catherine Cortez Masto
WMPID1518,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/RobertMurphyOK2.jpg,Sen,yes,Robert T. Murphy
WMPID1519,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Ron_Wyden.jpg,Sen,yes,Ron Wyden
WMPID2065,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/John-Fetterman.PNG,Sen,yes,John Karl Fetterman
WMPID1531,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Mike_Crapo.jpg,Sen,yes,Mike Crapo
WMPID1547,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Chuck_Schumer_113th_Congress.jpg,Sen,yes,Charles Schumer
WMPID21,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Jerry-Carl.PNG,House,yes,Jerry Carl
WMPID24,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/phyllis.jpg,House,yes,Phyllis Harvey-Hall
WMPID27,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Terri_Sewell.jpg,House,yes,Terri A Sewell
WMPID28,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Rick_Crawford_AR.jpg,House,yes,Rick Crawford
WMPID30,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Steve_Womack.jpg,House,yes,Steve Womack
WMPID35,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Paul-Gosar.PNG,House,yes,Paul Gosar
WMPID2361,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/JavierRamos.png,House,yes,Javier Ramos
WMPID45,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Ami_Bera.jpg,House,yes,Ami Bera
WMPID46,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/TamikaHamiltonCA.jpg,House,yes,Tamika Hamilton
WMPID52,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Jay-Obernolte.jpg,House,yes,Jay Obernolte
WMPID54,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Mark-DeSaulnier.jpg,House,yes,Mark Desaulnier
WMPID55,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/John-Garamendi.PNG,House,yes,John Garamendi
WMPID58,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Alison_Hayden1.png,House,yes,Alison Hayden
WMPID61,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Ritesh-Tandon.PNG,House,yes,Ritesh Tandon
WMPID62,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/RishiKumar.jpeg,House,yes,Rishi Kumar
WMPID63,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Jeff-Gorman.PNG,House,yes,Jeff Gorman
WMPID67,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Mike-Garcia.PNG,House,yes,Mike Garcia
WMPID68,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Christy_Smith.jpg,House,yes,Christy Smith
WMPID70,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Adam-Schiff.PNG,House,yes,Adam Schiff
WMPID3032,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Maebe-A-Girl.PNG,House,yes,G Maebe A. Girl Pudlo
WMPID75,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Judy_Chu.jpg,House,yes,Judy Chu
WMPID78,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Mike_Cargile.jpg,House,yes,Mike Cargile
WMPID1835,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Paul-Irving-Jones.PNG,House,yes,Paul Irving Jones
WMPID84,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/JoeCollins.jpg,House,yes,Joe Collins
WMPID2428,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Christopher-Gonzales.PNG,House,yes,Christopher Gonzales
WMPID87,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Darrell-Issa.jpg,House,yes,Darrell Issa
WMPID86,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Michelle-Steel.jpg,House,yes,Michelle Steel
WMPID96,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/LaurenBoebert.jpg,House,yes,Lauren Boebert
WMPID98,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/372EB166-DD69-41F6-AD08-1A0B0473CBEA.jpeg,House,yes,Isaac McCorkle
WMPID109,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Rosa_L._Delauro.jpg,House,yes,Rosa L DeLauro
